Date,Snow Water Equivalent (in) Start of Day Values
1989-10-29,1.2
1989-11-27,1.3000000000000003
1989-12-14,1.0
1989-12-15,1.3000000000000007
1990-01-09,1.0
1990-01-30,0.9000000000000004
1991-02-14,1.5999999999999996
1991-03-03,1.5
1991-03-06,2.1999999999999993
1991-03-12,0.8999999999999986
1991-03-27,0.8999999999999986
1992-01-08,1.200000000000001
1992-11-02,1.2999999999999998
1992-11-03,1.0000000000000002
1992-12-10,1.0
1993-04-05,1.0
1993-04-10,1.0
1993-04-22,1.5
1993-11-19,1.1
1994-01-06,1.200000000000001
1994-01-07,1.0
1995-01-07,1.0
1995-01-17,1.0
1995-02-10,0.9000000000000004
1995-02-11,0.9999999999999982
1995-05-01,0.9000000000000021
1995-05-10,0.8999999999999986
1995-11-10,1.8
1995-11-13,1.1
1995-11-14,1.2999999999999998
1995-11-27,1.2000000000000002
1996-01-01,1.0999999999999996
1996-01-04,1.0
1996-01-05,1.0999999999999996
1996-01-11,1.0999999999999979
1996-01-20,0.8999999999999986
1996-01-31,1.1999999999999993
1996-02-19,1.2000000000000028
1996-02-21,0.9000000000000021
1996-02-22,1.0
1996-02-23,1.3999999999999986
1996-03-18,1.0
1996-03-30,0.8999999999999986
1996-04-17,2.0
1996-04-24,1.7999999999999972
1996-10-30,0.8999999999999999
1996-12-06,2.5
1996-12-22,1.0
1996-12-24,0.9000000000000004
1997-01-04,0.8999999999999986
1997-01-10,1.5
1997-01-11,2.0
1997-01-12,1.1000000000000014
1997-02-06,1.1999999999999993
1997-04-10,1.4000000000000021
1997-05-02,1.0
1998-01-18,1.5999999999999996
1998-02-26,1.0999999999999979
1998-10-29,1.1
1998-12-29,0.8999999999999995
1999-01-19,0.9000000000000004
2000-01-10,1.0999999999999996
2000-01-11,1.5
2000-02-12,0.9000000000000021
2000-02-14,1.1000000000000014
2000-02-16,0.8999999999999986
2000-12-16,1.6000000000000005
2001-03-15,1.0
2002-11-10,1.1
2002-12-18,0.9000000000000004
2003-02-22,1.4000000000000004
2003-02-23,0.8999999999999986
2003-04-24,1.0
2003-11-18,1.1999999999999997
2004-03-07,1.0
2004-03-29,0.9000000000000004
2004-11-28,1.0
2004-12-09,1.0999999999999996
2004-12-10,2.5
2005-11-13,1.3000000000000003
2005-11-15,1.4000000000000004
2005-12-03,1.5999999999999996
2005-12-14,0.9000000000000004
2005-12-20,0.9000000000000004
2006-02-04,0.8999999999999986
2006-10-21,1.2
2006-11-15,1.1
2006-12-21,0.9000000000000004
2007-02-17,0.8999999999999986
2007-12-31,1.0
2008-01-12,1.1999999999999993
2008-02-08,0.8999999999999986
2009-01-08,1.1000000000000014
2009-01-13,1.1999999999999993
2009-01-24,1.0999999999999996
2009-01-25,1.3000000000000007
2009-01-29,0.9000000000000021
2009-02-19,0.9000000000000021
2009-03-26,1.0
2009-04-01,0.8999999999999986
2009-12-14,1.1999999999999993
2010-01-25,1.5
2010-02-14,0.8999999999999986
2010-04-07,1.3000000000000007
2010-05-01,1.0
2010-11-17,1.1999999999999993
2010-11-22,1.0999999999999996
2010-12-20,0.9000000000000004
2011-01-18,1.6000000000000014
2011-02-06,1.1999999999999993
2011-02-08,0.9000000000000021
2011-03-12,0.9000000000000021
2011-05-22,1.8000000000000007
2011-11-14,1.2
2012-02-22,1.0
2012-02-29,1.1999999999999993
2012-12-18,1.0
2013-01-31,0.9000000000000004
2013-04-16,1.0
2013-11-17,1.0
2013-12-23,1.0
2014-01-11,1.0999999999999996
2014-01-14,0.9000000000000004
2014-01-15,0.8999999999999986
2014-01-31,1.3000000000000007
2014-02-09,1.5
2014-02-10,1.5999999999999979
2014-03-01,0.8999999999999986
2014-03-28,0.8999999999999986
2014-05-12,1.4000000000000021
2014-11-23,0.8999999999999999
2014-11-26,0.8999999999999995
2014-12-22,2.0
2015-02-05,1.4000000000000004
2015-12-22,0.8999999999999995
2016-03-18,1.0
2016-05-09,0.8999999999999986
2016-12-11,1.0
2016-12-12,1.0999999999999996
2016-12-17,0.9000000000000004
2017-01-05,1.8000000000000007
2017-01-09,0.8999999999999986
2017-01-10,1.5
2017-01-12,0.9000000000000021
2017-05-19,1.2
2017-11-06,1.2999999999999998
2017-12-24,1.2000000000000002
2018-01-11,1.0
2018-01-13,1.0
2018-02-04,1.0999999999999996
2018-04-07,0.9000000000000021
2018-04-08,1.8999999999999986
2018-04-09,1.1999999999999993
2018-11-05,0.8999999999999999
2018-11-25,1.0999999999999996
2019-01-19,1.0
2019-01-25,0.9000000000000004
2019-02-15,1.1999999999999993
2019-03-07,1.1000000000000014
2019-03-09,0.8999999999999986
2019-06-22,1.7
2019-10-21,1.2000000000000002
2019-10-22,0.8999999999999999
2019-12-13,0.9000000000000004
2019-12-15,1.1999999999999993
2020-02-07,1.1000000000000014
2020-02-08,3.0
2020-02-17,1.5
2020-02-25,1.0
